sel_phenotype	co_phenotype	# of shared individuals	# of shared significant biomolecules (adjusted)	institution
Alzheimer's disease	Obstructive chronic bronchitis	12	NA	vumc
Alzheimer's disease	Pneumonitis due to inhalation of food or vomitus	12	NA	vumc
Alzheimer's disease	Empyema and pneumothorax	12	NA	vumc
Alzheimer's disease	Abnormal serum enzyme levels	12	NA	vumc
Alzheimer's disease	Cholelithiasis	12	NA	vumc
Alzheimer's disease	Fracture of hand or wrist	12	NA	vumc
Alzheimer's disease	Encounter for long-term (current) use of antibiotics	12	NA	vumc
Alzheimer's disease	Candidiasis	11	NA	vumc
Alzheimer's disease	Diabetes mellitus	11	NA	vumc
Alzheimer's disease	Diabetic retinopathy	11	NA	vumc
Alzheimer's disease	Generalized anxiety disorder	11	NA	vumc
Alzheimer's disease	Other and unspecified disorders of the nervous system	11	NA	vumc
Alzheimer's disease	Intracerebral hemorrhage	11	NA	vumc
Alzheimer's disease	Wheezing	11	NA	vumc
Alzheimer's disease	Ingrowing nail	11	NA	vumc
Alzheimer's disease	Sebaceous cyst	11	NA	vumc
Alzheimer's disease	Chronic ulcer of leg or foot	11	NA	vumc
Alzheimer's disease	Polymyalgia Rheumatica	11	NA	vumc
Alzheimer's disease	Hallux valgus (Bunion)	11	NA	vumc
Alzheimer's disease	Thoracic or lumbosacral neuritis or radiculitis, unspecified	11	NA	vumc
Alzheimer's disease	Neuralgia, neuritis, and radiculitis NOS	11	NA	vumc
Alzheimer's disease	Sprains and strains of back and neck	11	NA	vumc
Alzheimer's disease	Adverse drug events and drug allergies	11	NA	vumc
Alzheimer's disease	Chemotherapy	10	NA	vumc
Alzheimer's disease	Type 2 diabetes with ophthalmic manifestations	10	NA	vumc
Alzheimer's disease	Disorders of lipoid metabolism	10	NA	vumc
Alzheimer's disease	Other and unspecified coagulation defects	10	NA	vumc
Alzheimer's disease	Bipolar	10	NA	vumc
Alzheimer's disease	Abnormal involuntary movements	10	NA	vumc
Alzheimer's disease	Keratoconjunctivitis sicca	10	NA	vumc
Alzheimer's disease	Allergic conjunctivitis	10	NA	vumc
Alzheimer's disease	Dermatochalasis	10	NA	vumc
Alzheimer's disease	Eustachian tube disorders	10	NA	vumc
Alzheimer's disease	Chronic pulmonary heart disease	10	NA	vumc
Alzheimer's disease	Cerebral ischemia	10	NA	vumc
Alzheimer's disease	Atherosclerosis of the extremities	10	NA	vumc
Alzheimer's disease	Deep vein thrombosis [DVT]	10	NA	vumc
Alzheimer's disease	Chronic venous insufficiency [CVI]	10	NA	vumc
Alzheimer's disease	Chronic pharyngitis and nasopharyngitis	10	NA	vumc
Alzheimer's disease	Inguinal hernia	10	NA	vumc
Alzheimer's disease	Other symptoms/disorders or the urinary system	10	NA	vumc
Alzheimer's disease	Prolapse of vaginal walls	10	NA	vumc
Alzheimer's disease	Symptoms and disorders of the joints	10	NA	vumc
Alzheimer's disease	Intestinal infection due to C. difficile	9	NA	vumc
Alzheimer's disease	Infection with drug-resistant microorganisms	9	NA	vumc
Alzheimer's disease	Herpes zoster	9	NA	vumc
Alzheimer's disease	Postoperative infection	9	NA	vumc
Alzheimer's disease	Colon cancer	9	NA	vumc
Alzheimer's disease	Malignant neoplasm of bladder	9	NA	vumc
Alzheimer's disease	Malignant neoplasm, other	9	NA	vumc
Alzheimer's disease	Immunity deficiency	9	NA	vumc
Alzheimer's disease	Restless legs syndrome	9	NA	vumc
Alzheimer's disease	Macular degeneration (senile) of retina NOS	9	NA	vumc
Alzheimer's disease	Conjunctivitis, infectious	9	NA	vumc
Alzheimer's disease	ASCVD	9	NA	vumc
Alzheimer's disease	Symptoms involving cardiovascular system	9	NA	vumc
Alzheimer's disease	Subdural hemorrhage	9	NA	vumc
Alzheimer's disease	Atherosclerosis	9	NA	vumc
Alzheimer's disease	Voice disturbance	9	NA	vumc
Alzheimer's disease	Stricture and stenosis of esophagus	9	NA	vumc
Alzheimer's disease	Other intestinal obstruction	9	NA	vumc
Alzheimer's disease	Synovitis and tenosynovitis	9	NA	vumc
Alzheimer's disease	Rhabdomyolysis	9	NA	vumc
Alzheimer's disease	Fracture of ankle and foot	9	NA	vumc
Alzheimer's disease	Nontoxic multinodular goiter	8	NA	vumc
Alzheimer's disease	Secondary hypothyroidism	8	NA	vumc
Alzheimer's disease	Type 1 diabetes with neurological manifestations	8	NA	vumc
Alzheimer's disease	Proteinuria	8	NA	vumc
Alzheimer's disease	Morbid obesity	8	NA	vumc
Alzheimer's disease	Neurological disorders	8	NA	vumc
Alzheimer's disease	Migraine	8	NA	vumc
Alzheimer's disease	Partial epilepsy	8	NA	vumc
Alzheimer's disease	Macular puckering of retina	8	NA	vumc
Alzheimer's disease	Open-angle glaucoma	8	NA	vumc
Alzheimer's disease	Visual disturbances	8	NA	vumc
Alzheimer's disease	Heart valve replaced	8	NA	vumc
Alzheimer's disease	Pulmonary embolism and infarction, acute	8	NA	vumc
Alzheimer's disease	Influenza	8	NA	vumc
Alzheimer's disease	Bronchitis	8	NA	vumc
Alzheimer's disease	Painful respiration	8	NA	vumc
Alzheimer's disease	Noninfectious gastroenteritis	8	NA	vumc
Alzheimer's disease	Diverticulitis	8	NA	vumc
Alzheimer's disease	Chronic kidney disease, Stage I or II	8	NA	vumc
Alzheimer's disease	Other disorders of bladder	8	NA	vumc
Alzheimer's disease	Mammographic microcalcification	8	NA	vumc
Alzheimer's disease	Pain and other symptoms associated with female genital organs	8	NA	vumc
Alzheimer's disease	Cellulitis and abscess of arm/hand	8	NA	vumc
Alzheimer's disease	Disorder of skin and subcutaneous tissue NOS	8	NA	vumc
Alzheimer's disease	Seborrheic dermatitis	8	NA	vumc
Alzheimer's disease	Unspecified osteomyelitis	8	NA	vumc
Alzheimer's disease	Acquired spondylolisthesis	8	NA	vumc
Alzheimer's disease	Pathologic fracture of vertebrae	8	NA	vumc
Alzheimer's disease	Musculoskeletal symptoms referable to limbs	8	NA	vumc
Alzheimer's disease	Cramp of limb	8	NA	vumc
Alzheimer's disease	Spasm of muscle	8	NA	vumc
Alzheimer's disease	Sprains and strains	8	NA	vumc
Alzheimer's disease	Other open wound of head and face	8	NA	vumc
Alzheimer's disease	Radiotherapy	7	NA	vumc
Alzheimer's disease	Iron deficiency anemia secondary to blood loss (chronic)	7	NA	vumc
Alzheimer's disease	Pernicious anemia	7	NA	vumc
Alzheimer's disease	Delirium dementia and amnestic and other cognitive disorders	7	NA	vumc
Alzheimer's disease	Hemiplegia	7	NA	vumc
Alzheimer's disease	Cystoid macular degeneration of retina	7	NA	vumc
Alzheimer's disease	Blindness and low vision	7	NA	vumc
Alzheimer's disease	Subjective visual disturbances	7	NA	vumc
Alzheimer's disease	Tinnitus	7	NA	vumc
Alzheimer's disease	Hypertensive heart and/or renal disease	7	NA	vumc
Alzheimer's disease	Atrioventricular [AV] block	7	NA	vumc
Alzheimer's disease	Atherosclerosis of aorta	7	NA	vumc
Alzheimer's disease	Septal Deviations/Turbinate Hypertrophy	7	NA	vumc
Alzheimer's disease	Other upper respiratory disease	7	NA	vumc
Alzheimer's disease	Barrett's esophagus	7	NA	vumc
Alzheimer's disease	Peritonitis and retroperitoneal infections	7	NA	vumc
Alzheimer's disease	Ascites (non malignant)	7	NA	vumc
Alzheimer's disease	Other disorders of liver	7	NA	vumc
Alzheimer's disease	Renal failure NOS	7	NA	vumc
Alzheimer's disease	Cyst of kidney, acquired	7	NA	vumc
Alzheimer's disease	Cystitis	7	NA	vumc
Alzheimer's disease	Cystic mastopathy	7	NA	vumc
Alzheimer's disease	Postmenopausal bleeding	7	NA	vumc
Alzheimer's disease	Cellulitis and abscess of fingers/toes	7	NA	vumc
Alzheimer's disease	Corns and callosities	7	NA	vumc
Alzheimer's disease	Hyperhidrosis	7	NA	vumc
Alzheimer's disease	Postlaminectomy syndrome	7	NA	vumc
Alzheimer's disease	Rupture of tendon, nontraumatic	7	NA	vumc
Alzheimer's disease	Stiffness of joint	7	NA	vumc
Alzheimer's disease	Cervical radiculitis	7	NA	vumc
Alzheimer's disease	Fracture of foot	7	NA	vumc
Alzheimer's disease	Fracture of upper limb	7	NA	vumc
Alzheimer's disease	Skull and face fracture and other intercranial injury	7	NA	vumc
Alzheimer's disease	Complication of internal orthopedic device	7	NA	vumc
Alzheimer's disease	Methicillin sensitive Staphylococcus aureus	6	NA	vumc
Alzheimer's disease	Cancer of bronchus; lung	6	NA	vumc
Alzheimer's disease	Melanomas of skin, dx or hx	6	NA	vumc
Alzheimer's disease	Melanomas of skin	6	NA	vumc
Alzheimer's disease	Basal cell carcinoma	6	NA	vumc
Alzheimer's disease	Secondary malignancy of lymph nodes	6	NA	vumc
Alzheimer's disease	Benign neoplasm of brain, cranial nerves, meninges	6	NA	vumc
Alzheimer's disease	Hypoglycemia	6	NA	vumc
Alzheimer's disease	Hypercalcemia	6	NA	vumc
Alzheimer's disease	Electrolyte imbalance	6	NA	vumc
Alzheimer's disease	Anemia in neoplastic disease	6	NA	vumc
Alzheimer's disease	Specific nonpsychotic mental disorders due to brain damage	6	NA	vumc
Alzheimer's disease	Hallucinations	6	NA	vumc
Alzheimer's disease	Inflammatory and toxic neuropathy	6	NA	vumc
Alzheimer's disease	Macular degeneration, dry	6	NA	vumc
Alzheimer's disease	Macular degeneration, wet	6	NA	vumc
Alzheimer's disease	Optic atrophy	6	NA	vumc
Alzheimer's disease	Meniere's disease	6	NA	vumc
Alzheimer's disease	Secondary/extrinsic cardiomyopathies	6	NA	vumc
Alzheimer's disease	Cardiac dysrhythmias	6	NA	vumc
Alzheimer's disease	Paroxysmal supraventricular tachycardia	6	NA	vumc
Alzheimer's disease	Abdominal aortic aneurysm	6	NA	vumc
Alzheimer's disease	Phlebitis and thrombophlebitis of lower extremities	6	NA	vumc
Alzheimer's disease	Epistaxis or throat hemorrhage	6	NA	vumc
Alzheimer's disease	Other pulmonary inflamation or edema	6	NA	vumc
Alzheimer's disease	Dental caries	6	NA	vumc
Alzheimer's disease	Dyspepsia and other specified disorders of function of stomach	6	NA	vumc
Alzheimer's disease	Other disorders of intestine	6	NA	vumc
Alzheimer's disease	End stage renal disease	6	NA	vumc
Alzheimer's disease	Hydronephrosis	6	NA	vumc
Alzheimer's disease	Bladder neck obstruction	6	NA	vumc
Alzheimer's disease	Other disorders of urethra and urinary tract	6	NA	vumc
Alzheimer's disease	Urinary obstruction	6	NA	vumc
Alzheimer's disease	Other local infections of skin and subcutaneous tissue	6	NA	vumc
Alzheimer's disease	Rosacea	6	NA	vumc
Alzheimer's disease	Pruritus and related conditions	6	NA	vumc
Alzheimer's disease	Rheumatoid arthritis and other inflammatory polyarthropathies	6	NA	vumc
Alzheimer's disease	Spondylosis with myelopathy	6	NA	vumc
Alzheimer's disease	Bursitis	6	NA	vumc
Alzheimer's disease	Kyphoscoliosis and scoliosis	6	NA	vumc
Alzheimer's disease	Joint effusions	6	NA	vumc
Alzheimer's disease	Other specified osteoporosis	6	NA	vumc
Alzheimer's disease	Sciatica	6	NA	vumc
Alzheimer's disease	Shock	6	NA	vumc
Alzheimer's disease	Fracture of lower limb	6	NA	vumc
Alzheimer's disease	Colles' fracture	6	NA	vumc
Alzheimer's disease	Complications of cardiac/vascular device, implant, and graft	6	NA	vumc
Alzheimer's disease	Open wounds of head; neck; and trunk	6	NA	vumc
Alzheimer's disease	Chronic dermatitis due to solar radiation	6	NA	vumc
Alzheimer's disease	Systemic inflammatory response syndrome (SIRS)	6	NA	vumc
Alzheimer's disease	Staphylococcus infections	5	NA	vumc
Alzheimer's disease	Cancer, suspected or other	5	NA	vumc
Alzheimer's disease	Secondary malignancy of bone	5	NA	vumc
Alzheimer's disease	Myeloproliferative disease	5	NA	vumc
Alzheimer's disease	Nontoxic uninodular goiter	5	NA	vumc
Alzheimer's disease	Thyrotoxicosis with or without goiter	5	NA	vumc
Alzheimer's disease	Diabetes type 2 with peripheral circulatory disorders	5	NA	vumc
Alzheimer's disease	Amyloidosis	5	NA	vumc
Alzheimer's disease	Hemorrhagic disorder due to intrinsic circulating anticoagulants	5	NA	vumc
Alzheimer's disease	Other diseases of blood and blood-forming organs	5	NA	vumc
Alzheimer's disease	Conduct disorders	5	NA	vumc
Alzheimer's disease	Alcoholism	5	NA	vumc
Alzheimer's disease	Retinal detachments and defects	5	NA	vumc
Alzheimer's disease	Myopia	5	NA	vumc
Alzheimer's disease	Visual field defects	5	NA	vumc
Alzheimer's disease	Conjunctivitis, noninfectious	5	NA	vumc
Alzheimer's disease	Otalgia	5	NA	vumc
Alzheimer's disease	Disease of tricuspid valve	5	NA	vumc
Alzheimer's disease	Hypertension	5	NA	vumc
Alzheimer's disease	Cardiac defibrillator in situ	5	NA	vumc
Alzheimer's disease	Paroxysmal ventricular tachycardia	5	NA	vumc
Alzheimer's disease	Premature beats	5	NA	vumc
Alzheimer's disease	Occlusion of cerebral arteries, with cerebral infarction	5	NA	vumc
Alzheimer's disease	Occlusion of cerebral arteries	5	NA	vumc
Alzheimer's disease	Pulmonary insufficiency or respiratory failure following trauma and surgery	5	NA	vumc
Alzheimer's disease	Hyperventilation	5	NA	vumc
Alzheimer's disease	Disturbance of salivary secretion	5	NA	vumc
Alzheimer's disease	Symptoms involving digestive system	5	NA	vumc
Alzheimer's disease	Functional digestive disorders	5	NA	vumc
Alzheimer's disease	Abnormal results of function study of liver	5	NA	vumc
Alzheimer's disease	Acute pancreatitis	5	NA	vumc
Alzheimer's disease	Renal dialysis	5	NA	vumc
Alzheimer's disease	Microscopic hematuria	5	NA	vumc
Alzheimer's disease	Vaginitis and vulvovaginitis	5	NA	vumc
Alzheimer's disease	Prolapse of vaginal vault after hysterectomy	5	NA	vumc
Alzheimer's disease	stress incontinence, female	5	NA	vumc
Alzheimer's disease	Other dyschromia	5	NA	vumc
Alzheimer's disease	Diseases of nail, NOS	5	NA	vumc
Alzheimer's disease	Acute osteomyelitis	5	NA	vumc
Alzheimer's disease	Chronic osteomyelitis	5	NA	vumc
Alzheimer's disease	Displacement of intervertebral disc	5	NA	vumc
Alzheimer's disease	Bursitis disorders	5	NA	vumc
Alzheimer's disease	Acquired foot deformities	5	NA	vumc
Alzheimer's disease	Osteoarthrosis	5	NA	vumc
Alzheimer's disease	Pathologic fracture	5	NA	vumc
Alzheimer's disease	Symptoms involving nervous and musculoskeletal systems	5	NA	vumc
Alzheimer's disease	Subdural hemorrhage (injury)	5	NA	vumc
Alzheimer's disease	Rotator cuff (capsule) sprain	5	NA	vumc
Alzheimer's disease	Insect bite	5	NA	vumc
Alzheimer's disease	Althete's foot	4	NA	vumc
Alzheimer's disease	Neoplasm of unspecified nature of digestive system	4	NA	vumc
Alzheimer's disease	Malignant neoplasm of uterus	4	NA	vumc
Alzheimer's disease	Malignant neoplasm of kidney, except pelvis	4	NA	vumc
Alzheimer's disease	Malignant neoplasm of head, face, and neck	4	NA	vumc
Alzheimer's disease	Secondary malignant neoplasm	4	NA	vumc
Alzheimer's disease	Acquired hypothyroidism	4	NA	vumc
Alzheimer's disease	Impaired fasting glucose	4	NA	vumc
Alzheimer's disease	Testicular hypofunction	4	NA	vumc
Alzheimer's disease	Gouty arthropathy	4	NA	vumc
Alzheimer's disease	Abnormal weight gain	4	NA	vumc
Alzheimer's disease	Lymphadenitis	4	NA	vumc
Alzheimer's disease	Swelling, mass, or lump in head and neck [Space-occupying lesion, intracranial NOS]	4	NA	vumc
Alzheimer's disease	Paranoid disorders	4	NA	vumc
Alzheimer's disease	Substance addiction and disorders	4	NA	vumc
Alzheimer's disease	Alcohol-related disorders	4	NA	vumc
Alzheimer's disease	Extrapyramidal disease and abnormal movement disorders	4	NA	vumc
Alzheimer's disease	Myoclonus	4	NA	vumc
Alzheimer's disease	Torsion dystonia	4	NA	vumc
Alzheimer's disease	Other degenerative diseases of the basal ganglia	4	NA	vumc
Alzheimer's disease	Degenerative disease of the spinal cord	4	NA	vumc
Alzheimer's disease	Epilepsy	4	NA	vumc
Alzheimer's disease	Generalized convulsive epilepsy	4	NA	vumc
Alzheimer's disease	Nonspecific abnormal findings on radiological and other examination of skull and head	4	NA	vumc
Alzheimer's disease	Chronic pain syndrome	4	NA	vumc
Alzheimer's disease	Retinal detachment with retinal defect	4	NA	vumc
Alzheimer's disease	Drusen (degenerative) of retina	4	NA	vumc
Alzheimer's disease	Other nondiabetic retinopathy	4	NA	vumc
Alzheimer's disease	Retinal edema	4	NA	vumc
Alzheimer's disease	Chorioretinal scars	4	NA	vumc
Alzheimer's disease	Primary angle-closure glaucoma	4	NA	vumc
Alzheimer's disease	Diplopia and disorders of binocular vision	4	NA	vumc
Alzheimer's disease	Ptosis of eyelid	4	NA	vumc
Alzheimer's disease	Epiphora	4	NA	vumc
Alzheimer's disease	Otitis externa	4	NA	vumc
Alzheimer's disease	Labyrinthitis	4	NA	vumc
Alzheimer's disease	Heart valve disorders	4	NA	vumc
Alzheimer's disease	Nonrheumatic tricuspid valve disorders	4	NA	vumc
Alzheimer's disease	Precordial pain	4	NA	vumc
Alzheimer's disease	Endocarditis	4	NA	vumc
Alzheimer's disease	Left bundle branch block	4	NA	vumc
Alzheimer's disease	Abnormal function study of cardiovascular system	4	NA	vumc
Alzheimer's disease	Atherosclerosis of renal artery	4	NA	vumc
Alzheimer's disease	Atherosclerosis of native arteries of the extremities with ulceration or gangrene	4	NA	vumc
Alzheimer's disease	Atherosclerosis of native arteries of the extremities with intermittent claudication	4	NA	vumc
Alzheimer's disease	Noninfectious disorders of lymphatic channels	4	NA	vumc
Alzheimer's disease	Encounter for long-term (current) use of antiplatelets/antithrombotics	4	NA	vumc
Alzheimer's disease	Hypotension	4	NA	vumc
Alzheimer's disease	Chronic obstructive asthma	4	NA	vumc
Alzheimer's disease	Emphysema	4	NA	vumc
Alzheimer's disease	Solitary pulmonary nodule	4	NA	vumc
Alzheimer's disease	Diseases of esophagus	4	NA	vumc
Alzheimer's disease	Gastric ulcer	4	NA	vumc
Alzheimer's disease	Complications of gastrostomy, colostomy and enterostomy	4	NA	vumc
Alzheimer's disease	Kidney replaced by transpant	4	NA	vumc
Alzheimer's disease	Renal osteodystrophy	4	NA	vumc
Alzheimer's disease	Urethral stricture (not specified as infectious)	4	NA	vumc
Alzheimer's disease	Other symptoms involving urinary system	4	NA	vumc
Alzheimer's disease	Disorders of penis	4	NA	vumc
Alzheimer's disease	Cellulitis and abscess of foot, toe	4	NA	vumc
Alzheimer's disease	Psoriasis vulgaris	4	NA	vumc
Alzheimer's disease	Scar conditions and fibrosis of skin	4	NA	vumc
Alzheimer's disease	Alopecia	4	NA	vumc
Alzheimer's disease	Pyogenic arthritis	4	NA	vumc
Alzheimer's disease	Arthropathy associated with neurological disorders	4	NA	vumc
Alzheimer's disease	Malunion and nonunion of fracture	4	NA	vumc
Alzheimer's disease	Kyphosis (acquired)	4	NA	vumc
Alzheimer's disease	Other acquired musculoskeletal deformity	4	NA	vumc
Alzheimer's disease	Chromosomal anomalies	4	NA	vumc
Alzheimer's disease	Fracture of unspecified part of femur	4	NA	vumc
Alzheimer's disease	Fracture of ribs	4	NA	vumc
Alzheimer's disease	Hemorrhage or hematoma complicating a procedure	4	NA	vumc
Alzheimer's disease	Allergic reaction to food	4	NA	vumc
Alzheimer's disease	Septic shock	4	NA	vumc
Alzheimer's disease	Gram negative septicemia	3	NA	vumc
Alzheimer's disease	Gram positive septicemia	3	NA	vumc
Alzheimer's disease	Viral infection	3	NA	vumc
Alzheimer's disease	Candidiasis of skin and nails	3	NA	vumc
Alzheimer's disease	Mycoses	3	NA	vumc
Alzheimer's disease	Cancer of larynx	3	NA	vumc
Alzheimer's disease	Breast cancer [female]	3	NA	vumc
Alzheimer's disease	Neoplasm of uncertain behavior of breast	3	NA	vumc
Alzheimer's disease	Malignant neoplasm of other urinary organs	3	NA	vumc
Alzheimer's disease	Secondary malignancy of respiratory organs	3	NA	vumc
Alzheimer's disease	Secondary malignant neoplasm of digestive systems	3	NA	vumc
Alzheimer's disease	Secondary malignant neoplasm of liver	3	NA	vumc
Alzheimer's disease	Myeloid leukemia, acute	3	NA	vumc
Alzheimer's disease	Benign neoplasm of lip, oral cavity, and pharynx	3	NA	vumc
Alzheimer's disease	Other disorders of thyroid	3	NA	vumc
Alzheimer's disease	Hyperparathyroidism	3	NA	vumc
Alzheimer's disease	Glucocorticoid deficiency	3	NA	vumc
Alzheimer's disease	severe protein-calorie malnutrition	3	NA	vumc
Alzheimer's disease	Hyperglyceridemia	3	NA	vumc
Alzheimer's disease	Chondrocalcinosis	3	NA	vumc
Alzheimer's disease	Disorders of calcium/phosphorus metabolism	3	NA	vumc
Alzheimer's disease	Disorders of phosphorus metabolism	3	NA	vumc
Alzheimer's disease	Overweight, obesity and other hyperalimentation	3	NA	vumc
Alzheimer's disease	Deficiency anemias	3	NA	vumc
Alzheimer's disease	Pancytopenia	3	NA	vumc
Alzheimer's disease	Primary hypercoagulable state	3	NA	vumc
Alzheimer's disease	Abnormal coagulation profile	3	NA	vumc
Alzheimer's disease	Diseases of white blood cells	3	NA	vumc
Alzheimer's disease	Neutropenia	3	NA	vumc
Alzheimer's disease	Transient mental disorders due to conditions classified elsewhere	3	NA	vumc
Alzheimer's disease	Transient alteration of awareness	3	NA	vumc
Alzheimer's disease	Obsessive-compulsive disorders	3	NA	vumc
Alzheimer's disease	Other mental disorder	3	NA	vumc
Alzheimer's disease	Central/nonobstroctive sleep apnea	3	NA	vumc
Alzheimer's disease	Retinal vascular changes and abnomalities	3	NA	vumc
Alzheimer's disease	Chorioretinal inflammations, scars, and other disorders of choroid	3	NA	vumc
Alzheimer's disease	Astigmatism	3	NA	vumc
Alzheimer's disease	Eye infection, viral	3	NA	vumc
Alzheimer's disease	Uveitis, noninfectious or NOS	3	NA	vumc
Alzheimer's disease	Disorders of optic nerve and visual pathways	3	NA	vumc
Alzheimer's disease	Optic neuritis/neuropathy	3	NA	vumc
Alzheimer's disease	Pain, swelling or discharge of eye	3	NA	vumc
Alzheimer's disease	Suppurative and unspecified otitis media	3	NA	vumc
Alzheimer's disease	Central origin vertigo	3	NA	vumc
Alzheimer's disease	Mitral valve disease	3	NA	vumc
Alzheimer's disease	Pulmonary heart disease	3	NA	vumc
Alzheimer's disease	First degree AV block	3	NA	vumc
Alzheimer's disease	Mobitz II AV block	3	NA	vumc
Alzheimer's disease	Congestive heart failure; nonhypertensive	3	NA	vumc
Alzheimer's disease	Arterial embolism and thrombosis of lower extremity artery	3	NA	vumc
Alzheimer's disease	Stricture of artery	3	NA	vumc
Alzheimer's disease	Acute pharyngitis	3	NA	vumc
Alzheimer's disease	Chronic laryngitis	3	NA	vumc
Alzheimer's disease	Asthma with exacerbation	3	NA	vumc
Alzheimer's disease	Dependence on respirator [Ventilator] or supplemental oxygen	3	NA	vumc
Alzheimer's disease	Gingivitis	3	NA	vumc
Alzheimer's disease	Chronic periodontitis	3	NA	vumc
Alzheimer's disease	Esophagitis, GERD and related diseases	3	NA	vumc
Alzheimer's disease	Hemorrhage from gastrointestinal ulcer	3	NA	vumc
Alzheimer's disease	Gastritis and duodenitis, NOS	3	NA	vumc
Alzheimer's disease	Ulceration of intestine	3	NA	vumc
Alzheimer's disease	Anal and rectal conditions	3	NA	vumc
Alzheimer's disease	Cirrhosis of liver without mention of alcohol	3	NA	vumc
Alzheimer's disease	Jaundice (not of newborn)	3	NA	vumc
Alzheimer's disease	Other disorders of biliary tract	3	NA	vumc
Alzheimer's disease	Diseases of pancreas	3	NA	vumc
Alzheimer's disease	Hematemesis	3	NA	vumc
Alzheimer's disease	Nephritis and nephropathy in diseases classified elsewhere	3	NA	vumc
Alzheimer's disease	Renal sclerosis, NOS	3	NA	vumc
Alzheimer's disease	Abnormal results of function study of kidney	3	NA	vumc
Alzheimer's disease	Acute cystitis	3	NA	vumc
Alzheimer's disease	Orchitis and epididymitis	3	NA	vumc
Alzheimer's disease	Other disorders of male genital organs	3	NA	vumc
Alzheimer's disease	Genital prolapse	3	NA	vumc
Alzheimer's disease	Menopausal and postmenopausal disorders	3	NA	vumc
Alzheimer's disease	Cellulitis and abscess of face/neck	3	NA	vumc
Alzheimer's disease	Prurigo and Lichen	3	NA	vumc
Alzheimer's disease	Other specified diseases of sebaceous glands	3	NA	vumc
Alzheimer's disease	Chronic ulcer of unspecified site	3	NA	vumc
Alzheimer's disease	Osteomyelitis, periostitis, and other infections involving bone	3	NA	vumc
Alzheimer's disease	Sacroiliitis NEC	3	NA	vumc
Alzheimer's disease	Other and unspecified disorders of back	3	NA	vumc
Alzheimer's disease	Other disorders of synovium, tendon, and bursa	3	NA	vumc
Alzheimer's disease	Ganglion and cyst of synovium, tendon, and bursa	3	NA	vumc
Alzheimer's disease	Other derangement of joint	3	NA	vumc
Alzheimer's disease	Symptoms of the muscles	3	NA	vumc
Alzheimer's disease	Facial weakness	3	NA	vumc
Alzheimer's disease	Elevated sedimentation rate	3	NA	vumc
Alzheimer's disease	Gangrene	3	NA	vumc
Alzheimer's disease	Fracture of patella	3	NA	vumc
Alzheimer's disease	Fracture of clavicle or scapula	3	NA	vumc
Alzheimer's disease	Complication of nervous system device, implant, and graft	3	NA	vumc
Alzheimer's disease	Mechanical complication of unspecified genitourinary device, implant, and graft	3	NA	vumc
Alzheimer's disease	Open wound of hand except finger(s)	3	NA	vumc
Alzheimer's disease	Allergy/adverse effect of penicillin	3	NA	vumc
Alzheimer's disease	Antineoplastic and immunosuppressive drugs causing adverse effects	3	NA	vumc
Alzheimer's disease	Effects radiation NOS	3	NA	vumc
Alzheimer's disease	Herpes zoster with nervous system complications	2	NA	vumc
Alzheimer's disease	Viral hepatitis C	2	NA	vumc
Alzheimer's disease	Chronic hepatitis	2	NA	vumc
Alzheimer's disease	Viral warts & HPV	2	NA	vumc
Alzheimer's disease	Sexually transmitted infections (not HIV or hepatitis)	2	NA	vumc
Alzheimer's disease	Dermatophytosis of the body	2	NA	vumc
Alzheimer's disease	Other infectious and parasitic diseases	2	NA	vumc
Alzheimer's disease	Cancer of larynx, pharynx, nasal cavities	2	NA	vumc
Alzheimer's disease	Cancer of oropharynx	2	NA	vumc
Alzheimer's disease	Hx of malignant neoplasm of oral cavity and pharynx	2	NA	vumc
Alzheimer's disease	Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum	2	NA	vumc
Alzheimer's disease	Cancer of connective tissue	2	NA	vumc
Alzheimer's disease	Squamous cell carcinoma	2	NA	vumc
Alzheimer's disease	Non-Hodgkins lymphoma	2	NA	vumc
Alzheimer's disease	Nodular lymphoma	2	NA	vumc
Alzheimer's disease	Multiple myeloma	2	NA	vumc
Alzheimer's disease	Benign neoplasm of other parts of digestive system	2	NA	vumc
Alzheimer's disease	Lipoma of skin and subcutaneous tissue	2	NA	vumc
Alzheimer's disease	Uterine leiomyoma	2	NA	vumc
Alzheimer's disease	Hemangioma of skin and subcutaneous tissue	2	NA	vumc
Alzheimer's disease	Chronic lymphocytic thyroiditis	2	NA	vumc
Alzheimer's disease	Type 1 diabetes with ophthalmic manifestations	2	NA	vumc
Alzheimer's disease	Pituitary hypofunction	2	NA	vumc
Alzheimer's disease	Anterior pituitary disorders	2	NA	vumc
Alzheimer's disease	Nonspecific abnormal results of other endocrine function study	2	NA	vumc
Alzheimer's disease	Cachexia	2	NA	vumc
Alzheimer's disease	Anorexia	2	NA	vumc
Alzheimer's disease	Paraproteinemia	2	NA	vumc
Alzheimer's disease	Disorders of magnesium metabolism	2	NA	vumc
Alzheimer's disease	Other deficiency anemia	2	NA	vumc
Alzheimer's disease	Primary thrombocytopenia	2	NA	vumc
Alzheimer's disease	Polycythemia, secondary	2	NA	vumc
Alzheimer's disease	Anxiety disorders	2	NA	vumc
Alzheimer's disease	Parasomnia	2	NA	vumc
Alzheimer's disease	Anterior horn cell disease	2	NA	vumc
